name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,IsData,generator,additionalSelection,isreHLT
ttbar,/TT_TuneCUETP8M1_alphaS01273_13TeV-powheg-scaledown-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,9954800,1,831.76,0.0835536626,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_alphaS01273_13TeV-powheg-scaleup-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,9555200,1,831.76,0.0870478902,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_alphaS01273_13TeV-powheg-scaleup-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,9828800,1,831.76,0.0846247762,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_mtop1695_13TeV-powheg-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3_ext1-v1/MINIAODSIM,29196125,1,831.76,0.0284887121,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_mtop1695_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM,29205760,1,831.76,0.0284793137,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_mtop1755_13TeV-powheg-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3_ext1-v1/MINIAODSIM,29149600,1,831.76,0.0285341823,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_mtop1755_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM,29220000,1,831.76,0.0284654346,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1_mtop1785_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM,19634243,1,831.76,0.0423627231,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1mpiOFF_13TeV-powheg-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,24017200,1,831.76,0.0346318472,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1mpiOFF_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,24193400,1,831.76,0.0343796242,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1noCR_13TeV-powheg-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,24123800,1,831.76,0.0344788135,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneCUETP8M1noCR_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,24374800,1,831.76,0.0341237672,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneEE5C_13TeV-powheg-herwigpp/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v2/MINIAODSIM,19788268,1,831.76,0.0420329864,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneEE5C_13TeV-powheg-herwigpp/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,19797067,1,831.76,0.0420143044,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneEE5CmpiOFF_13TeV-powheg-herwigpp/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,23026768,1,831.76,0.0361214392,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
ttbar,/TT_TuneEE5CmpiOFF_13TeV-powheg-herwigpp/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,23400944,1,831.76,0.0355438652,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,"/TT_TuneCUETP8M1_mtop1665_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,/TT_TuneCUETP8M1_mtop1665_13TeV-powheg-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM",38935260,1,831.76,0.0213626415,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,powhegv2,none,isreHLT
ttbar,"/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3_ext3-v1/MINIAODSIM,/TT_TuneCUETP8M1_13TeV-powheg-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3_ext4-v1/MINIAODSIM",215789699,1,831.76,0.0038544935,,80X_mcRun2_asymptotic_2016_v3,mc,powhegv2,none,isreHLT
,,,,,,,,,,,
ttjets,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring16MiniAODv1-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_v3-v2/MINIAODSIM,37670174,0,831.76,0,,80X_mcRun2_asymptotic_2016_v3,mc,MG_aMCatNLO Fxfx,none,isreHLT
ttjets,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v3/MINIAODSIM,28088535,0,831.76,0,,80X_mcRun2_asymptotic_2016_v3,mc,MG_aMCatNLO Fxfx,none,isreHLT
ttjets,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,37459078,0,831.76,0,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,MG_aMCatNLO Fxfx,none,isreHLT
ttjets,/TTJets_TuneCUETP8M1_13TeV-amcatnloFXFX-pythia8/RunIISpring16MiniAODv2-PUSpring16RAWAODSIM_reHLT_80X_mcRun2_asymptotic_v14-v1/MINIAODSIM,38261382,0.3321164887,831.76,0.06545562,,80X_mcRun2_asymptotic_v14,mc,MG_aMCatNLO Fxfx,none,isreHLT
ttjets,/TTJets_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,10259872,1,831.76,0.0810692375,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,MG_aMCatNLO MLM,none,isreHLT
ttjets,/TTJets_TuneCUETP8M1_alphaS0118_13TeV-amcatnloFXFX-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,30524836,0.3410607032,831.76,0.0798937872,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,MG_aMCatNLO Fxfx,none,isreHLT
,,,,,,,,,,,
TTJETS_DL,/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v4/MINIAODSIM,6058236,1,87.3348,0.0144158795,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,MG_aMCatNLO MLM,none,isreHLT
TTJETS_DL,/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0_ext1-v1/MINIAODSIM,24623997,1,87.3348,0.0035467353,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,MG_aMCatNLO MLM,none,isreHLT
TTJETS_DL,"/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3-v1/MINIAODSIM,/TTJets_DiLept_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv1-PUSpring16_80X_mcRun2_asymptotic_2016_v3_ext1-v1/MINIAODSIM",30587326,1,87.3348,0.002855261,,80X_mcRun2_asymptotic_2016_v3,mc,MG_aMCatNLO MLM,none,isreHLT
,,,,,,,,,,,
TTJETS_SlfromT,/TTJets_SingleLeptFromT_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring16MiniAODv2-PUSpring16_80X_mcRun2_asymptotic_2016_miniAODv2_v0-v1/MINIAODSIM,9468936,1,182.15544,0.0192371603,,80X_mcRun2_asymptotic_2016_miniAODv2_v0,mc,MG_aMCatNLO MLM,none,isreHLT
