name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection
ttW_hadr,/TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,831847,0.516,0.435,0.001013435,/TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,aMC,NONE
ttW_lept,/TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,250307,0.5134,0.21,0.001634144,/TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,aMC,NONE
,,,,,,,,,,
WJets-HT-100-200,/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,10205377,1,1345,0.131793269,/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
WJets-HT-200-400,/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,4949568,1,359.7,0.072673009,/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
WJets-HT-400-600,/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,1943664,1,48.91,0.025164,/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
WJets-HT-600-800,/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,3767766,1,12.05,0.003198182,/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
WJets-HT-800-1200,/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,1568277,1,5.501,0.003507671,/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
WJets-HT-1200-2500,/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,246239,1,1.329,0.005332231,/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
WJets-HT-2500-Inf,/WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,251982,1,0.03216,0.000127628,/WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/shwillia-Boostedv5MiniAOD-e4c2a9f836f93efac0a5602fcd81aeed/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified,NONE
