name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator
ttZ_hadr,/TTZToQQ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,747000,0.4687,0.611,0.001745121,/TTZToQQ_TuneCUETP8M1_13TeV-amcatnlo-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,aMC
,,,,,,,,,
ttW_hadr,/TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,831847,0.516,0.435,0.001013435,/TTWJetsToQQ_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,aMC
ttW_lept,/TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,250307,0.5134,0.21,0.001634144,/TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,aMC
,,,,,,,,,
WJets-HT-100-200,/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,10205377,1,1345,0.131793269,/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
WJets-HT-200-400,/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,4949568,1,359.7,0.072673009,/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
WJets-HT-400-600,/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,1943664,1,48.91,0.025164,/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
WJets-HT-600-800,/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,3767766,1,12.05,0.003198182,/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
WJets-HT-800-1200,/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIIFall15MiniAODv2-PU25nsData2015v1_76X_mcRun2_asymptotic_RunIIFall15DR76_v0-v1/MINIAODSIM,1568277,1,5.501,0.003507671,/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/kelmorab-Boostedv4MiniAOD-3ee9719125e8f43190be7e60b08aebc4/USER,76X_mcRun2_asymptotic_RunIIFall15DR76_v0,FALSE,notSpecified
