name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData
QCD-HT-700-1000,/QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,15356448,1,6802,0.42457735,/QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
QCD-HT-1000-1500,/QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,4963895,1,1206,0.21354199,/QCD_HT1000to1500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
QCD-HT-1500-2000,/QCD_HT1500to2000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,3868886,1,120.4,0.03140439,/QCD_HT1500to2000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
QCD-HT-2000-inf,/QCD_HT2000toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,1912529,1,25.24,0.0132913,/QCD_HT2000toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
,,,,,,,,,
WJets-HT-100-200,/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,10152718,1,1345,0.13247684,/WJetsToLNu_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
WJets-HT-200-400,/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,5221599,1,359.7,0.06888694,/WJetsToLNu_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
WJets-HT-400-600,/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,1745914,1,48.91,0.02801398,/WJetsToLNu_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
WJets-HT-600-800,/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,4041997,1,12.05,0.0029812,/WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
WJets-HT-800-1200,/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,1574633,1,5.501,0.00349351,/WJetsToLNu_HT-800To1200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
WJets-HT-1200-2500,/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,255637,1,1.329,0.00519878,/WJetsToLNu_HT-1200To2500_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
WJets-HT-2500-Inf,/WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/RunIISpring15MiniAODv2-74X_mcRun2_asymptotic_v2-v1/MINIAODSIM,253036,1,0.03216,0.0001271,/WJetsToLNu_HT-2500ToInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8/hmildner-Boostedv3MiniAOD-48d296d5134b571af584b706fd9b3b0a/USER,74X_mcRun2_asymptotic_v4,FALSE
